LexToken(KW_VOID,'void',7,252)
LexToken(ID,'main',7,257)
LexToken(DEL_LPAREN,'(',7,261)
LexToken(DEL_RPAREN,')',7,262)
LexToken(DEL_LBRACE,'{',7,264)
LexToken(KW_VAR,'var',8,268)
LexToken(ID,'x',8,272)
LexToken(OP_ASSIGN,'=',8,274)
LexToken(VAL_INT,10,8,276)
LexToken(DEL_SEMICOLON,';',8,278)
LexToken(KW_FINAL,'final',9,282)
LexToken(DT_INT,'int',9,288)
LexToken(ID,'constanteEntera',9,292)
LexToken(OP_ASSIGN,'=',9,308)
LexToken(VAL_INT,42,9,310)
LexToken(DEL_SEMICOLON,';',9,312)
LexToken(KW_CONST,'const',10,316)
LexToken(DT_BOOL,'bool',10,322)
LexToken(ID,'esVerdad',10,327)
LexToken(OP_ASSIGN,'=',10,336)
LexToken(KW_TRUE,'true',10,338)
LexToken(DEL_SEMICOLON,';',10,342)
LexToken(DT_BOOL,'bool',11,346)
LexToken(ID,'esFalso',11,351)
LexToken(OP_ASSIGN,'=',11,359)
LexToken(KW_FALSE,'false',11,361)
LexToken(DEL_SEMICOLON,';',11,366)
LexToken(DT_MAP,'Map',12,370)
LexToken(OP_LESS,'<',12,373)
LexToken(DT_STRING,'String',12,374)
LexToken(DEL_COMMA,',',12,380)
LexToken(DT_INT,'int',12,382)
LexToken(OP_GREATHER,'>',12,385)
LexToken(OP_NULLABLE,'?',12,386)
LexToken(ID,'miMapa',12,388)
LexToken(DEL_SEMICOLON,';',12,394)
LexToken(KW_IF,'if',14,401)
LexToken(DEL_LPAREN,'(',14,404)
LexToken(ID,'esVerdad',14,405)
LexToken(DEL_RPAREN,')',14,413)
LexToken(DEL_LBRACE,'{',14,415)
LexToken(KW_PRINT,'print',15,421)
LexToken(DEL_LPAREN,'(',15,426)
LexToken(ID,'x',15,427)
LexToken(DEL_RPAREN,')',15,428)
LexToken(DEL_SEMICOLON,';',15,429)
LexToken(DEL_RBRACE,'}',16,433)
LexToken(KW_ELSE,'else',16,435)
LexToken(DEL_LBRACE,'{',16,440)
LexToken(KW_PRINT,'print',17,446)
LexToken(DEL_LPAREN,'(',17,451)
LexToken(VAL_INT,0,17,452)
LexToken(DEL_RPAREN,')',17,453)
LexToken(DEL_SEMICOLON,';',17,454)
LexToken(DEL_RBRACE,'}',18,458)
LexToken(KW_FOR,'for',20,465)
LexToken(DEL_LPAREN,'(',20,469)
LexToken(DT_INT,'int',20,470)
LexToken(ID,'i',20,474)
LexToken(OP_ASSIGN,'=',20,476)
LexToken(VAL_INT,0,20,478)
LexToken(DEL_SEMICOLON,';',20,479)
LexToken(ID,'i',20,481)
LexToken(OP_LESS,'<',20,483)
LexToken(VAL_INT,5,20,485)
LexToken(DEL_SEMICOLON,';',20,486)
LexToken(ID,'i',20,488)
LexToken(OP_ASSIGN,'=',20,490)
LexToken(ID,'i',20,492)
LexToken(OP_ARITHMETIC,'+',20,494)
LexToken(VAL_INT,1,20,496)
LexToken(DEL_RPAREN,')',20,497)
LexToken(DEL_LBRACE,'{',20,499)
LexToken(KW_WHILE,'while',21,505)
LexToken(DEL_LPAREN,'(',21,511)
LexToken(ID,'x',21,512)
LexToken(OP_GREATHER,'>',21,514)
LexToken(VAL_INT,0,21,516)
LexToken(DEL_RPAREN,')',21,517)
LexToken(DEL_LBRACE,'{',21,519)
LexToken(KW_BREAK,'break',22,527)
LexToken(DEL_SEMICOLON,';',22,532)
LexToken(DEL_RBRACE,'}',23,538)
LexToken(DEL_RBRACE,'}',24,542)
LexToken(KW_SWITCH,'switch',26,549)
LexToken(DEL_LPAREN,'(',26,556)
LexToken(ID,'x',26,557)
LexToken(DEL_RPAREN,')',26,558)
LexToken(DEL_LBRACE,'{',26,560)
LexToken(DEL_RBRACE,'}',28,577)
LexToken(KW_RETURN,'return',30,584)
LexToken(DEL_SEMICOLON,';',30,590)
LexToken(DEL_RBRACE,'}',31,592)

